(u'Dakshin Dinajpur', u'F') 694
(u'Siang', u'F') 99
(u'Ghazipur', u'F') 2075
(u'Navsari', u'F') 711
(u'Mansa', u'F') 333
(u'Chamba', u'F') 89
(u'Jamtara', u'F') 143
(u'Phek', u'F') 72
(u'Bahraich', u'F') 2629
(u'Siwan', u'F') 4160
(u'Gondiya', u'F') 373
(u'Bhandara', u'F') 254
(u'Uttar Dinajpur', u'F') 1257
(u'Hoshangabad', u'F') 290
(u'Jorhat', u'F') 79
(u'Kishanganj', u'F') 1451
(u'Sambhal', u'F') 1010
(u'Lower Subansiri', u'F') 82
(u'Kaithal', u'F') 102
(u'Aizawl', u'F') 377
(u'Hailakandi', u'F') 47
(u'Karnal', u'F') 255
(u'Kabeerdham', u'F') 60
(u'Malappuram', u'F') 1925
(u'Bidar', u'F') 787
(u'Bathinda', u'F') 652
(u'Bhind', u'F') 840
(u'Mainpuri', u'F') 1088
(u'Marigaon', u'F') 32
(u'Tiruvannamalai', u'F') 512
(u'Madurai', u'F') 1117
(u'Mandla', u'F') 214
(u'Boudh', u'F') 278
(u'Pilibhit', u'F') 496
(u'Mysuru', u'F') 1237
(u'Cuddalore', u'F') 1147
(u'North Cachar Hills', u'F') 22
(u'Tinsukia', u'F') 212
(u'Narayanpur', u'F') 28
(u'Sibsagar', u'F') 88
(u'Nicobar', u'F') 10
(u'Changlang', u'F') 542
(u'Bijapur', u'F') 79
(u'Mokokchung', u'F') 52
(u'West Delhi', u'F') 848
(u'Anantnag', u'F') 1356
(u'Surajpur', u'F') 205
(u'Dewas', u'F') 639
(u'Golaghat', u'F') 73
(u'Araria', u'F') 2303
(u'Kushinagar', u'F') 1227
(u'Jaisalmer', u'F') 354
(u'Farrukhabad', u'F') 795
(u'Raigarh', u'F') 1591
(u'Varanasi', u'F') 1107
(u'Hooghly', u'F') 2283
(u'Sri Muktsar Sahib', u'F') 266
(u'Koppal', u'F') 584
(u'Jalandhar', u'F') 835
(u'Kalahandi', u'F') 838
(u'Umaria', u'F') 136
(u'Kathua', u'F') 473
(u'Nalbari', u'F') 39
(u'Raichur', u'F') 1340
(u'Kurukshetra', u'F') 120
(u'Bongaigaon', u'F') 101
(u'Gorakhpur', u'F') 2781
(u'Kanpur Nagar', u'F') 2149
(u'Shaheed Bhagat Singh Nagar', u'F') 543
(u'Buldhana', u'F') 1222
(u'Vizianagaram', u'F') 685
(u'Nuapada', u'F') 320
(u'Almora', u'F') 60
(u'Mandi', u'F') 264
(u'Bhilwara', u'F') 1298
(u'Tapi', u'F') 176
(u'Udham Singh Nagar', u'F') 296
(u'Kannauj', u'F') 916
(u'Nalanda', u'F') 1970
(u'Jamui', u'F') 962
(u'Damoh', u'F') 425
(u'Tarn Taran', u'F') 680
(u'Salem', u'F') 1036
(u'Dhemaji', u'F') 144
(u'Vaishali', u'F') 2637
(u'Allahabad', u'F') 2554
(u'Shamli', u'F') 545
(u'Dakshin Bastar Dantewada', u'F') 61
(u'Sikar', u'F') 1722
(u'Sant Ravidas Nagar', u'F') 673
(u'Longleng', u'F') 44
(u'Kawardha', u'F') 111
(u'Baramula', u'F') 2264
(u'Thoubal', u'F') 754
(u'Sivaganga', u'F') 596
(u'Anand', u'F') 1412
(u'Kandhamal', u'F') 769
(u'Mumbai Suburban', u'F') 3444
(u'Begusarai', u'F') 2209
(u'Kullu', u'F') 103
(u'Shahjahanpur', u'F') 1073
(u'Ranchi', u'F') 1236
(u'Katihar', u'F') 1869
(u'Dholpur', u'F') 796
(u'Pathanamthitta', u'F') 355
(u'Kamrup Metro', u'F') 799
(u'Kanker', u'F') 104
(u'South Goa', u'F') 221
(u'Maharajganj', u'F') 1052
(u'Jaipur', u'F') 5363
(u'Gurdaspur', u'F') 559
(u'Rajouri', u'F') 1102
(u'Unnao', u'F') 1272
(u'West Garo Hills', u'F') 1613
(u'Cuddapah', u'F') 712
(u'Ludhiana', u'F') 1475
(u'Jhalawar', u'F') 661
(u'Rayagada', u'F') 619
(u'Budaun', u'F') 2429
(u'Dhalai', u'F') 126
(u'Alwar', u'F') 1633
(u'Palwal', u'F') 160
(u'Barddhaman', u'F') 3951
(u'North West Delhi', u'F') 1015
(u'Alappuzha', u'F') 762
(u'Solan', u'F') 141
(u'Rampur', u'F') 662
(u'Anjaw', u'F') 66
(u'Sambalpur', u'F') 598
(u'Darjeeling', u'F') 1323
(u'Sheikhpura', u'F') 738
(u'Idukki', u'F') 349
(u'Chhotaudepur', u'F') 553
(u'Hingoli', u'F') 341
(u'Udupi', u'F') 498
(u'Tirap', u'F') 75
(u'Bokaro', u'F') 540
(u'Bundi', u'F') 630
(u'Basti', u'F') 1334
(u'Tirunelveli', u'F') 1086
(u'Janjgir-champa', u'F') 526
(u'Champhai', u'F') 328
(u'Jalna', u'F') 746
(u'Diu', u'F') 41
(u'Junagadh', u'F') 822
(u'Dantewada', u'F') 29
(u'Kendrapara', u'F') 801
(u'Kollam', u'F') 937
(u'Samba', u'F') 166
(u'Pune', u'F') 6363
(u'South Delhi', u'F') 1353
(u'Surat', u'F') 2817
(u'Mayurbhanj', u'F') 1410
(u'Others', u'F') 321
(u'Fazilka', u'F') 202
(u'Murshidabad', u'F') 2522
(u'Dibang Valley', u'F') 14
(u'Ramban', u'F') 195
(u'Bandipore', u'F') 673
(u'Betul', u'F') 374
(u'Puducherry', u'F') 258
(u'Gadag', u'F') 461
(u'North 24 Parganas', u'F') 5793
(u'Chatra', u'F') 265
(u'Balaghat', u'F') 493
(u'Nandurbar', u'F') 293
(u'Nashik', u'F') 2092
(u'Datia', u'F') 278
(u'Jind', u'F') 148
(u'Papum Pare', u'F') 271
(u'Chittorgarh', u'F') 550
(u'South Garo Hills', u'F') 165
(u'Nizamabad', u'F') 419
(u'Banaskantha', u'F') 3050
(u'Faizabad', u'F') 775
(u'Sawai Madhopur', u'F') 565
(u'Gautam Buddha Nagar', u'F') 1731
(u'Daman', u'F') 101
(u'K.v. Rangareddy', u'F') 1600
(u'Tumakuru', u'F') 1020
(u'Kasganj', u'F') 431
(u'Koriya', u'F') 158
(u'Nagaon', u'F') 59
(u'Alirajpur', u'F') 736
(u'Bilaspur', u'F') 593
(u'Sabarkantha', u'F') 994
(u'Darrang', u'F') 54
(u'Mahesana', u'F') 1152
(u'Kiphire', u'F') 135
(u'East Khasi Hills', u'F') 6623
(u'Amethi', u'F') 985
(u'Kolar', u'F') 751
(u'Jabalpur', u'F') 693
(u'Panchmahals', u'F') 635
(u'Muzaffarpur', u'F') 3661
(u'Nabarangapur', u'F') 665
(u'Cuttack', u'F') 1366
(u'Hazaribagh', u'F') 489
(u'Gajapati', u'F') 281
(u'Bara Banki', u'F') 896
(u'Ernakulam', u'F') 1180
(u'Pali', u'F') 905
(u'Puruliya', u'F') 1747
(u'Karimganj', u'F') 96
(u'Champawat', u'F') 50
(u'Purba Medinipur', u'F') 1936
(u'Bageshwar', u'F') 21
(u'Tiruppur', u'F') 1214
(u'Nainital', u'F') 141
(u'Kancheepuram', u'F') 2941
(u'Sehore', u'F') 680
(u'Haridwar', u'F') 346
(u'Jammu', u'F') 1007
(u'Pathankot', u'F') 221
(u'South Andaman', u'F') 164
(u'Raisen', u'F') 601
(u'Pauri Garhwal', u'F') 148
(u'Koraput', u'F') 1460
(u'Sonipat', u'F') 199
(u'Satna', u'F') 824
(u'Chitrakoot', u'F') 361
(u'Madhepura', u'F') 1200
(u'Faridkot', u'F') 152
(u'Darbhanga', u'F') 2134
(u'Lohit', u'F') 101
(u'Chhatarpur', u'F') 824
(u'Thanjavur', u'F') 1260
(u'Sangli', u'F') 1120
(u'Central Delhi', u'F') 406
(u'Dindori', u'F') 111
(u'Bhopal', u'F') 1077
(u'Neemuch', u'F') 234
(u'Solapur', u'F') 1835
(u'Dahod', u'F') 1517
(u'Medak', u'F') 539
(u'Sepahijala', u'F') 170
(u'Dehradun', u'F') 456
(u'Upper Siang', u'F') 248
(u'Gomati', u'F') 105
(u'Chikkamagaluru', u'F') 485
(u'Gumla', u'F') 328
(u'Kolasib', u'F') 186
(u'Peren', u'F') 52
(u'Kachchh', u'F') 1670
(u'Chandel', u'F') 166
(u'Una', u'F') 88
(u'Amravati', u'F') 1117
(u'Deoria', u'F') 1645
(u'Sirsa', u'F') 238
(u'Chitradurga', u'F') 631
(u'Wokha', u'F') 79
(u'Unakoti', u'F') 83
(u'Lower Dibang Valley', u'F') 90
(u'Mungeli', u'F') 186
(u'Saharsa', u'F') 1810
(u'Kolkata', u'F') 2949
(u'Nayagarh', u'F') 313
(u'Guntur', u'F') 1039
(u'Rewari', u'F') 186
(u'Amroha', u'F') 529
(u'Chirang', u'F') 66
(u'Lunglei', u'F') 458
(u'Vidisha', u'F') 610
(u'Dumka', u'F') 256
(u'Bagalkot', u'F') 966
(u'Sangrur', u'F') 666
(u'Barpeta', u'F') 147
(u'Sant Kabir Nagar', u'F') 778
(u'East Sikkim', u'F') 39
(u'Purnia', u'F') 1435
(u'Fatehabad', u'F') 199
(u'Kasaragod', u'F') 797
(u'Latehar', u'F') 202
(u'Vijayapura', u'F') 1253
(u'Balrampur', u'F') 1558
(u'Villupuram', u'F') 1074
(u'Uttar Bastar Kanker', u'F') 42
(u'Garhwa', u'F') 270
(u'Mumbai City', u'F') 1684
(u'Lakhimpur', u'F') 220
(u'Sahebganj', u'F') 152
(u'Simdega', u'F') 153
(u'Karbi Anglong', u'F') 82
(u'Harda', u'F') 161
(u'Patan', u'F') 591
(u'Tamenglong', u'F') 282
(u'Debagarh', u'F') 147
(u'Ghaziabad', u'F') 1956
(u'Satara', u'F') 1229
(u'Barnala', u'F') 230
(u'Morena', u'F') 637
(u'Rupnagar', u'F') 299
(u'Chandigarh', u'F') 722
(u'Ramanagar', u'F') 324
(u'Chandrapur', u'F') 769
(u'Mirzapur', u'F') 812
(u'Nanded', u'F') 1224
(u'Barmer', u'F') 1033
(u'Arwal', u'F') 212
(u'West Singhbhum', u'F') 450
(u'Krishna', u'F') 851
(u'Jaunpur', u'F') 2111
(u'Washim', u'F') 416
(u'Khagaria', u'F') 1333
(u'Uttara Kannada', u'F') 666
(u'Warangal', u'F') 740
(u'Pratapgarh', u'F') 1766
(u'New Delhi', u'F') 66
(u'Nawada', u'F') 2120
(u'Etawah', u'F') 435
(u'Wayanad', u'F') 226
(u'Churu', u'F') 1173
(u'Auraiya', u'F') 557
(u'Theni', u'F') 566
(u'Udhampur', u'F') 383
(u'Nalgonda', u'F') 522
(u'Hamirpur', u'F') 466
(u'Dhenkanal', u'F') 499
(u'Nagpur', u'F') 1167
(u'Uttarkashi', u'F') 33
(u'South 24 Parganas', u'F') 4460
(u'Bargarh', u'F') 574
(u'Banswara', u'F') 450
(u'Shivpuri', u'F') 572
(u'Srinagar', u'F') 4539
(u'Jhansi', u'F') 578
(u'Surendra Nagar', u'F') 801
(u'Ashok Nagar', u'F') 349
(u'Dhule', u'F') 839
(u'Nagapattinam', u'F') 929
(u'Buxar', u'F') 1425
(u'Sonapur', u'F') 230
(u'Jashpur', u'F') 183
(u'Guna', u'F') 409
(u'Parbhani', u'F') 674
(u'Churachandpur', u'F') 608
(u'Ramanathapuram', u'F') 700
(u'Pulwama', u'F') 1060
(u'Katni', u'F') 452
(u'Samastipur', u'F') 3774
(u'Lakshadweep', u'F') 38
(u'Ujjain', u'F') 603
(u'Botad', u'F') 254
(u'Kondagaon', u'F') 303
(u'Longding', u'F') 207
(u'Mahoba', u'F') 354
(u'Thiruvarur', u'F') 799
(u'Bhagalpur', u'F') 1497
(u'Adilabad', u'F') 344
(u'Kolhapur', u'F') 1719
(u'Sonitpur', u'F') 345
(u'South West Delhi', u'F') 626
(u'Dhanbad', u'F') 653
(u'Tuensang', u'F') 319
(u'Rajsamand', u'F') 637
(u'Kaimur (Bhabua)', u'F') 623
(u'Shupiyan', u'F') 125
(u'Panipat', u'F') 186
(u'Saiha', u'F') 118
(u'Shajapur', u'F') 463
(u'Hisar', u'F') 320
(u'Balod', u'F') 176
(u'West Khasi Hills', u'F') 708
(u'Jalor', u'F') 875
(u'Baran', u'F') 644
