
15.6633448601
(u'Sikkim', '10-20'),32
(u'Jharkhand', '30-40'),728
(u'Daman and Diu', '0-10'),119
(u'Tripura', '40-50'),88
(u'Tripura', '50-60'),48
(u'Maharashtra', '0-10'),36294
(u'Meghalaya', 'NULL'),0
(u'Nagaland', '10-20'),503
(u'Andaman and Nicobar Islands', '20-30'),81
(u'Gujarat', '0-10'),22580
(u'Chhattisgarh', '30-40'),585
(u'Others', '0-10'),45
(u'Tamil Nadu', '60+'),2983
(u'Daman and Diu', '50-60'),13
(u'Nagaland', '0-10'),629
(u'Manipur', '30-40'),475
(u'Puducherry', '50-60'),46
(u'Bihar', '40-50'),3963
(u'Gujarat', '50-60'),4260
(u'Dadra and Nagar Haveli', '30-40'),24
(u'Madhya Pradesh', '40-50'),2143
(u'Bihar', '30-40'),7197
(u'Rajasthan', '10-20'),13689
(u'Uttar Pradesh', '60+'),6472
(u'Telangana', '60+'),424
(u'Jammu and Kashmir', 'NULL'),0
(u'Puducherry', '40-50'),56
(u'Tamil Nadu', '40-50'),4940
(u'Arunachal Pradesh', '10-20'),717
(u'Sikkim', '0-10'),94
(u'Bihar', '0-10'),59216
(u'Himachal Pradesh', '20-30'),237
(u'Rajasthan', '60+'),1285
(u'Chhattisgarh', '20-30'),1219
(u'Jharkhand', '50-60'),255
(u'Nagaland', '20-30'),574
(u'Others', '60+'),25
(u'Meghalaya', '10-20'),2282
(u'Odisha', '40-50'),873
(u'Uttarakhand', '10-20'),416
(u'Puducherry', '0-10'),418
(u'Jammu and Kashmir', '0-10'),8339
(u'Assam', '40-50'),1632
(u'Uttar Pradesh', '40-50'),5251
(u'Assam', '60+'),486
(u'Madhya Pradesh', '30-40'),3313
(u'Arunachal Pradesh', '40-50'),247
(u'Delhi', '20-30'),1891
(u'Puducherry', '30-40'),76
(u'Delhi', '50-60'),469
(u'Andhra Pradesh', '20-30'),917
(u'Jammu and Kashmir', '40-50'),2396
(u'Bihar', '50-60'),2634
(u'Dadra and Nagar Haveli', '50-60'),5
(u'Maharashtra', '40-50'),4508
(u'Karnataka', '50-60'),2689
(u'Gujarat', '60+'),5406
(u'Delhi', '60+'),508
(u'Odisha', '10-20'),2905
(u'Sikkim', '30-40'),12
(u'Uttar Pradesh', '30-40'),10105
(u'Dadra and Nagar Haveli', '60+'),4
(u'Jharkhand', '40-50'),375
(u'Assam', '10-20'),3352
(u'Daman and Diu', '60+'),17
(u'Others', '40-50'),41
(u'Chandigarh', '30-40'),141
(u'Andhra Pradesh', 'NULL'),0
(u'Telangana', '0-10'),12607
(u'West Bengal', '20-30'),11566
(u'Haryana', '40-50'),422
(u'Jharkhand', '0-10'),9159
(u'Haryana', '30-40'),726
(u'Karnataka', '10-20'),5365
(u'Meghalaya', '20-30'),3083
(u'Tripura', '10-20'),209
(u'Assam', '20-30'),9508
(u'Kerala', '20-30'),5387
(u'Andaman and Nicobar Islands', '30-40'),65
(u'Nagaland', '30-40'),338
(u'West Bengal', '60+'),4990
(u'Andaman and Nicobar Islands', '40-50'),49
(u'Punjab', '50-60'),1283
(u'Chhattisgarh', '10-20'),934
(u'Delhi', '0-10'),5898
(u'Daman and Diu', '40-50'),26
(u'West Bengal', '10-20'),6970
(u'Maharashtra', '50-60'),2956
(u'Jammu and Kashmir', '30-40'),3605
(u'Meghalaya', '60+'),1153
(u'Chhattisgarh', '60+'),317
(u'Gujarat', '30-40'),8316
(u'Dadra and Nagar Haveli', '40-50'),7
(u'Maharashtra', '30-40'),8670
(u'Jharkhand', '60+'),411
(u'West Bengal', '40-50'),4272
(u'Rajasthan', '50-60'),1047
(u'Others', '50-60'),55
(u'Rajasthan', 'NULL'),0
(u'Bihar', 'NULL'),0
(u'Meghalaya', '40-50'),1947
(u'Uttar Pradesh', '50-60'),3328
(u'Tamil Nadu', '0-10'),37942
(u'Andaman and Nicobar Islands', '10-20'),55
(u'Bihar', '60+'),3161
(u'Arunachal Pradesh', '0-10'),2301
(u'Madhya Pradesh', '60+'),2300
(u'Goa', '40-50'),111
(u'Kerala', '50-60'),2954
(u'Meghalaya', '30-40'),2442
(u'Haryana', '60+'),465
(u'Sikkim', '20-30'),20
(u'Lakshadweep', '10-20'),3
(u'Himachal Pradesh', '50-60'),63
(u'Chhattisgarh', '40-50'),304
(u'Rajasthan', '0-10'),37058
(u'Puducherry', '60+'),33
(u'Tripura', '30-40'),147
(u'Uttarakhand', '30-40'),310
(u'Kerala', '0-10'),19547
(u'Manipur', '10-20'),1279
(u'Others', '20-30'),75
(u'Maharashtra', 'NULL'),0
(u'Daman and Diu', '20-30'),27
(u'Meghalaya', '0-10'),1101
(u'Goa', '0-10'),494
(u'Madhya Pradesh', '20-30'),7554
(u'Jammu and Kashmir', '20-30'),4529
(u'Dadra and Nagar Haveli', '20-30'),46
(u'Dadra and Nagar Haveli', '10-20'),30
(u'Gujarat', '10-20'),7883
(u'Manipur', '50-60'),175
(u'Sikkim', '60+'),4
(u'Mizoram', '0-10'),712
(u'Chhattisgarh', '0-10'),7302
(u'Manipur', '40-50'),255
(u'Chandigarh', '20-30'),166
(u'Punjab', '20-30'),2312
(u'Mizoram', '20-30'),714
(u'Sikkim', '50-60'),2
(u'Odisha', 'NULL'),0
(u'Andhra Pradesh', '60+'),479
(u'Manipur', '60+'),136
(u'Kerala', '30-40'),7651
(u'Telangana', '20-30'),1200
(u'Manipur', '0-10'),2992
(u'Uttarakhand', '50-60'),92
(u'Telangana', '30-40'),1561
(u'Odisha', '60+'),1106
(u'Daman and Diu', '10-20'),20
(u'Andhra Pradesh', '50-60'),277
(u'Himachal Pradesh', '0-10'),1684
(u'Chandigarh', '10-20'),73
(u'Delhi', '30-40'),1522
(u'Goa', '60+'),118
(u'Jammu and Kashmir', '50-60'),1867
(u'Tamil Nadu', '30-40'),8423
(u'Bihar', '10-20'),23847
(u'Haryana', '50-60'),302
(u'Andaman and Nicobar Islands', '60+'),21
(u'Uttar Pradesh', '0-10'),72724
(u'Karnataka', '60+'),3193
(u'Odisha', '50-60'),605
(u'Assam', '50-60'),879
(u'Sikkim', '40-50'),5
(u'Jammu and Kashmir', '60+'),2456
(u'West Bengal', '0-10'),28925
(u'Goa', '30-40'),159
(u'Mizoram', '50-60'),187
(u'Telangana', '50-60'),421
(u'Jammu and Kashmir', '10-20'),4001
(u'Bihar', '20-30'),16065
(u'Gujarat', '40-50'),5070
(u'Gujarat', 'NULL'),0
(u'Nagaland', '60+'),112
(u'Delhi', '40-50'),664
(u'West Bengal', '50-60'),2938
(u'Rajasthan', '30-40'),2848
(u'Uttarakhand', '0-10'),1770
(u'Karnataka', '20-30'),9721
(u'Tamil Nadu', '50-60'),2583
(u'Kerala', '60+'),2047
(u'Maharashtra', '10-20'),6104
(u'Daman and Diu', '30-40'),24
(u'Andaman and Nicobar Islands', '0-10'),398
(u'Karnataka', '30-40'),7794
(u'Arunachal Pradesh', '50-60'),183
(u'Himachal Pradesh', '40-50'),103
(u'Lakshadweep', '30-40'),7
(u'Telangana', '10-20'),588
(u'Tripura', '20-30'),228
(u'Uttarakhand', '40-50'),131
(u'Meghalaya', '50-60'),1393
(u'Tripura', '60+'),54
(u'Mizoram', '60+'),158
(u'Manipur', '20-30'),926
(u'West Bengal', '30-40'),6332
(u'Others', '30-40'),52
(u'Puducherry', '10-20'),31
(u'Odisha', '0-10'),18918
(u'Delhi', '10-20'),989
(u'Maharashtra', '20-30'),12326
(u'Tamil Nadu', '20-30'),7918
(u'Chandigarh', '40-50'),90
(u'Uttar Pradesh', '10-20'),37147
(u'Nagaland', '40-50'),188
(u'Chandigarh', '60+'),79
(u'Odisha', '20-30'),3300
(u'Goa', '20-30'),162
(u'Maharashtra', '60+'),4709
(u'Lakshadweep', '40-50'),8
(u'Goa', '50-60'),91
(u'Mizoram', '30-40'),478
